archivo,original,kb,categoria,candidata_cvat,prioridad,observacion
casma_2026-05-25_029.jpg,WhatsApp Image 2026-05-25 at 12.56.30 PM (1).jpeg,711,arbol,no,no,Arbol completo con cintas/trampas (panoramica)
casma_2026-05-25_030.jpg,WhatsApp Image 2026-05-25 at 12.56.30 PM (2).jpeg,174,sintoma_macro,si,alta,Yema con agalla/malformacion (escoba) y necrosis en hoja (close-up)
casma_2026-05-25_031.jpg,WhatsApp Image 2026-05-25 at 12.56.30 PM (3).jpeg,665,contexto,no,no,Documentacion de campo: personal en camino junto a arbol
casma_2026-05-25_032.jpg,WhatsApp Image 2026-05-25 at 12.56.30 PM (4).jpeg,420,panicula,si,media,Inflorescencia con cenicilla (toma media)
casma_2026-05-25_033.jpg,WhatsApp Image 2026-05-25 at 12.56.30 PM (5).jpeg,793,contexto,no,no,Documentacion de campo: deshierbe manual
casma_2026-05-25_034.jpg,WhatsApp Image 2026-05-25 at 12.56.30 PM.jpeg,541,arbol,no,no,Arbol con trampa delta (panoramica)
casma_2026-05-25_035.jpg,WhatsApp Image 2026-05-25 at 12.56.31 PM (1).jpeg,191,sintoma_macro,si,alta,Yema con agalla y exudado + insectos (close-up nitido)
casma_2026-05-25_036.jpg,WhatsApp Image 2026-05-25 at 12.56.31 PM (2).jpeg,418,panicula,si,media,Mano sosteniendo inflorescencia necrosada (macro)
casma_2026-05-25_037.jpg,WhatsApp Image 2026-05-25 at 12.56.31 PM (3).jpeg,335,panicula,si,media,Inflorescencia con cenicilla (close-up)
casma_2026-05-25_038.jpg,WhatsApp Image 2026-05-25 at 12.56.31 PM (4).jpeg,147,sintoma_macro,si,alta,Yema con malformacion (escoba) + necrosis en hoja (close-up nitido)
casma_2026-05-25_039.jpg,WhatsApp Image 2026-05-25 at 12.56.31 PM (5).jpeg,686,contexto,no,no,Documentacion de campo: personal de espaldas con mochila
casma_2026-05-25_040.jpg,WhatsApp Image 2026-05-25 at 12.56.31 PM (6).jpeg,212,contexto,no,no,Trampa delta con insectos capturados (monitoreo de plaga)
casma_2026-05-25_041.jpg,WhatsApp Image 2026-05-25 at 12.56.31 PM.jpeg,600,panicula,si,media,Inflorescencia seca (toma media)
casma_2026-05-25_042.jpg,WhatsApp Image 2026-05-25 at 12.56.32 PM (1).jpeg,287,hoja_brote,opcional,baja,Mano con inflorescencia joven aparentemente sana
casma_2026-05-25_043.jpg,WhatsApp Image 2026-05-25 at 12.56.32 PM (2).jpeg,441,panicula,si,media,Inflorescencia con cenicilla (toma media)
casma_2026-05-25_044.jpg,WhatsApp Image 2026-05-25 at 12.56.32 PM (3).jpeg,334,panicula,si,media,Inflorescencia con cenicilla (toma media)
casma_2026-05-25_045.jpg,WhatsApp Image 2026-05-25 at 12.56.32 PM (4).jpeg,634,contexto,no,no,Documentacion de campo: deshierbe manual
casma_2026-05-25_046.jpg,WhatsApp Image 2026-05-25 at 12.56.32 PM (5).jpeg,386,panicula,si,media,Inflorescencia (contrapicado hacia el cielo)
casma_2026-05-25_047.jpg,WhatsApp Image 2026-05-25 at 12.56.32 PM.jpeg,342,sintoma_macro,si,alta,Yema con cenicilla (polvillo blanco) + hoja (close-up nitido)
casma_2026-05-25_048.jpg,WhatsApp Image 2026-05-25 at 12.56.33 PM (1).jpeg,258,sintoma_macro,si,alta,Yema con malformacion (escoba) y necrosis (close-up nitido)
casma_2026-05-25_049.jpg,WhatsApp Image 2026-05-25 at 12.56.33 PM (2).jpeg,699,contexto,no,no,Documentacion de campo: deshierbe en hilera
casma_2026-05-25_050.jpg,WhatsApp Image 2026-05-25 at 12.56.33 PM.jpeg,130,sintoma_macro,si,alta,Inflorescencia con cenicilla marcada en botones (macro nitido)
casma_2026-05-25_051.jpg,WhatsApp Image 2026-05-25 at 6.16.45 PM (1).jpeg,448,arbol,no,no,Hilera de arboles (panoramica)
casma_2026-05-25_052.jpg,WhatsApp Image 2026-05-25 at 6.16.45 PM.jpeg,344,contexto,no,no,Documentacion de campo: equipo recorriendo el huerto
